"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/Models/Material.Material","0","21","3","1","23.851503","0","66"
"/Game/Models/Material_001.Material_001","0","21","4","1","23.149220","0","127"
"/Game/Models/Material_002.Material_002","0","21","10","1","21.977911","0","54"
"/Game/Models/Material_003.Material_003","0","21","1","1","21.432856","0","72"
"/Game/Models/Material_004.Material_004","0","21","10","1","24.029074","0","54"
"/Game/Materials/Wall_Without_Normal.Wall_Without_Normal","0","21","3","1","24.702023","0","55"
"/Game/NewMediaPlayer_Video_Mat1.NewMediaPlayer_Video_Mat1","0","12","12","1","13.298659","0","17"
"/Game/Materials/wood_Mat.wood_Mat","0","21","6","1","22.344183","0","58"
"/Game/Materials/TEXTURE_TV_Mat.TEXTURE_TV_Mat","0","21","7","1","24.565834","0","53"
"/Game/Materials/TEXTURE_Door_Mat.TEXTURE_Door_Mat","0","21","8","1","21.111416","0","60"
"/Game/Materials/openbook_Mat.openbook_Mat","0","21","9","1","22.827728","0","61"
"/Game/Materials/openbookpages_Mat.openbookpages_Mat","0","26","10","1","29.076639","0","96"
"/Game/Materials/Glass.Glass","0","44","5","1","124.041214","0","234"
"/Game/Materials/bookcover__1__Mat.bookcover__1__Mat","0","21","10","1","24.821920","0","62"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/Materials/Ceiling.Ceiling","0","21","10","1","25.965837","0","53"
"/Game/Materials/Carpet_Material.Carpet_Material","0","21","10","1","27.633724","0","74"
"/Game/Materials/Material_Wall.Material_Wall","0","21","3","1","23.509102","0","55"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","33","6","1","34.886497","0","105"
"/Game/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","0","72","11","1","60.616047","0","435"
"/Game/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","72","10","1","53.838882","0","453"
